fun,acc,ture_acc
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.96525003016,0.9661
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993225159744,0.9672
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991083502769,0.9575
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991500174006,0.9566
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968833379447,0.9699
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993900164962,0.97
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99160849303,0.9586
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991083497802,0.9546
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.964583377043,0.9665
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993283510208,0.9671
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991983498136,0.9593
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991100157301,0.9572
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965500039359,0.9656
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993350160619,0.9632
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991600168248,0.9562
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990958524247,0.9593
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965583366652,0.9641
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993366839985,0.9688
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991416831811,0.9592
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991233510276,0.9543
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.966083372633,0.9657
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.99360850205,0.9715
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991416831811,0.9521
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991400174797,0.9571
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969083388646,0.9706
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993500170608,0.971
