categorical_crossentropy,acc,nadam,tanh,sigmoid,0.973583375,0.9715
categorical_hinge,binary_accuracy,nadam,softsign,softplus,0.79200012,0.9714
binary_crossentropy,categorical_accuracy,nadam,softsign,sigmoid,0.970750046,0.9714
categorical_crossentropy,categorical_accuracy,adam,tanh,softplus,0.970000041,0.9713
categorical_crossentropy,acc,rmsprop,softsign,softmax,0.967500026,0.9713
binary_crossentropy,binary_accuracy,rmsprop,softsign,softmax,0.9932835,0.9713
kullback_leibler_divergence,binary_accuracy,rmsprop,softsign,softmax,0.993333509,0.9713
kullback_leibler_divergence,binary_accuracy,nadam,tanh,softmax,0.994150164,0.9713
kullback_leibler_divergence,top_k_categorical_accuracy,nadam,softsign,softmax,0.998916777,0.9713
categorical_crossentropy,categorical_accuracy,adam,tanh,sigmoid,0.971083365,0.9712
categorical_crossentropy,categorical_accuracy,adam,tanh,softplus,0.969416708,0.9711
poisson,binary_accuracy,nadam,softsign,sigmoid,0.992500151,0.9711
poisson,categorical_accuracy,nadam,softsign,sigmoid,0.968833372,0.9711
poisson,top_k_categorical_accuracy,rmsprop,softsign,softmax,0.998916768,0.971
binary_crossentropy,categorical_accuracy,nadam,tanh,softmax,0.970166706,0.971
poisson,top_k_categorical_accuracy,nadam,tanh,sigmoid,0.999000115,0.971
poisson,acc,nadam,softsign,softmax,0.968500045,0.9709
binary_crossentropy,acc,rmsprop,tanh,sigmoid,0.992566819,0.9709
categorical_crossentropy,acc,adam,tanh,sigmoid,0.971583384,0.9708
poisson,acc,adam,tanh,softmax,0.966333379,0.9707
categorical_crossentropy,binary_accuracy,rmsprop,tanh,softplus,0.923083509,0.9706
poisson,binary_accuracy,rmsprop,softsign,softmax,0.993108508,0.9706
binary_crossentropy,binary_accuracy,rmsprop,tanh,softmax,0.993691822,0.9706
binary_crossentropy,top_k_categorical_accuracy,nadam,softplus,softmax,0.998916763,0.9706
poisson,top_k_categorical_accuracy,adam,softsign,softmax,0.999000105,0.9705
categorical_crossentropy,categorical_accuracy,adam,softsign,softmax,0.968333376,0.9705
categorical_crossentropy,top_k_categorical_accuracy,rmsprop,tanh,softmax,0.998666768,0.9705
categorical_crossentropy,binary_accuracy,adam,tanh,sigmoid,0.911041846,0.9704
categorical_crossentropy,top_k_categorical_accuracy,rmsprop,softsign,sigmoid,0.998750103,0.9704
categorical_crossentropy,top_k_categorical_accuracy,adam,softsign,sigmoid,0.998916768,0.9704
categorical_crossentropy,top_k_categorical_accuracy,adam,softsign,softplus,0.998666756,0.9703
poisson,categorical_accuracy,nadam,softsign,softmax,0.968750045,0.9702
categorical_crossentropy,categorical_accuracy,rmsprop,softsign,softmax,0.968916712,0.9702
kullback_leibler_divergence,top_k_categorical_accuracy,nadam,tanh,softmax,0.999333444,0.9702
categorical_crossentropy,categorical_accuracy,adam,tanh,softmax,0.967333374,0.9701
binary_crossentropy,categorical_accuracy,rmsprop,tanh,softmax,0.967500048,0.9701
kullback_leibler_divergence,categorical_accuracy,adam,softsign,softmax,0.966583361,0.9701
poisson,categorical_accuracy,rmsprop,tanh,sigmoid,0.965833358,0.9701
categorical_crossentropy,top_k_categorical_accuracy,adam,tanh,sigmoid,0.999000102,0.9701
categorical_hinge,categorical_accuracy,nadam,softsign,softplus,0.965916701,0.97
categorical_crossentropy,binary_accuracy,adam,tanh,softplus,0.919625183,0.97
categorical_crossentropy,top_k_categorical_accuracy,adam,tanh,softmax,0.9990001,0.9699
categorical_crossentropy,categorical_accuracy,rmsprop,tanh,sigmoid,0.967916712,0.9699
categorical_crossentropy,categorical_accuracy,rmsprop,softsign,softplus,0.969500042,0.9698
categorical_crossentropy,binary_accuracy,adam,tanh,sigmoid,0.91198352,0.9698
categorical_crossentropy,top_k_categorical_accuracy,adam,tanh,softplus,0.999083435,0.9697
categorical_crossentropy,top_k_categorical_accuracy,adam,softsign,softmax,0.998750103,0.9697
binary_crossentropy,binary_accuracy,adam,tanh,softmax,0.99396683,0.9697
poisson,acc,nadam,tanh,softmax,0.970250025,0.9695
poisson,categorical_accuracy,nadam,tanh,softmax,0.969083366,0.9695
kullback_leibler_divergence,categorical_accuracy,nadam,softplus,softmax,0.96683337,0.9695
kullback_leibler_divergence,categorical_accuracy,nadam,tanh,softmax,0.971583366,0.9694
kullback_leibler_divergence,categorical_accuracy,rmsprop,tanh,softmax,0.966583384,0.9694
poisson,acc,rmsprop,softplus,softmax,0.964583372,0.9693
binary_crossentropy,categorical_accuracy,nadam,softplus,softmax,0.96783337,0.9693
kullback_leibler_divergence,acc,nadam,tanh,softmax,0.96950002,0.9692
binary_crossentropy,top_k_categorical_accuracy,nadam,softplus,softmax,0.998750113,0.9691
kullback_leibler_divergence,categorical_accuracy,rmsprop,tanh,softmax,0.967500053,0.9691
kullback_leibler_divergence,categorical_accuracy,adam,tanh,softmax,0.967583373,0.9691
categorical_hinge,categorical_accuracy,nadam,softsign,softplus,0.965500042,0.969
